Vendor,Model,OS,Kernel,CPP,Ver,JEM,Mem,Dimms,Size,Rank,Speed,Mfg,Gen,CPU,TDP,Cores,ACT,Chips,Cores,Threads,Score,URL,,,,,,,,,low(x),med(x),high(x)
Tyrone,DIT400TR-48RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8268,205,24,3.5,2,48,96,270,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200218-20971.html,,,,,,,,,,,
Tyrone,DIT400TR-55R/55RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8268,205,24,3.5,2,48,96,270,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200218-21013.html,,,,,,,,,,,
Tyrone,DS4A0TR-28R,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,512,16,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,230,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200125-20687.html,,,,,,,,,,,
Lenovo,ThinkSystem SN550,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2666,Intel,CLX,8276,165,28,3,2,56,112,277,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14686.html,,,,,,,,,,,
Lenovo,ThinkSystem SR630,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel,19.0.0.117,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280L,205,28,3.3,2,56,112,305,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190318-11254.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel,19.0.0.117,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280M,205,28,3.3,2,56,112,305,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190318-11263.html,,,,,,,,,,,
Dell,PowerEdge FC640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,4215,85,8,3,2,16,16,79.3,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14576.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,CentOS Linux 7 (Core),3.10.0-957.21.3.el7.x86_64,Intel C/C++,19.0.2.187,,768,24,32,2Rx4,2933,Intel,CLX,8280,205,28,3.3,2,56,112,306,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190805-16554.html,,,,,,,,,,,
Lenovo,ThinkSystem SR630,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel,19.0.0.117,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280,205,28,3.3,2,56,112,306,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190318-11249.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel,19.0.0.117,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280,205,28,3.3,2,56,112,306,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190318-11258.html,,,,,,,,,,,
Tyrone,DIT400TR-28RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6242,150,16,3.5,2,32,64,186,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191108-19518.html,,,,,,,,,,,
Dell,PowerEdge FC640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8276M,165,28,3,2,56,112,283,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14551.html,,,,,,,,,,,
Huawei,XH628 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,8276,165,28,3,2,56,112,283,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12764.html,,,,,,,,,,,
Inspur,NF5180M5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,234,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191119-19906.html,,,,,,,,,,,
Primergy,CX2560 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,38.5,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191111-19637.html,,,,,,,,,,,
Dell,PowerEdge M640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8276M,165,28,3,2,56,112,284,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-15082.html,,,,,,,,,,,
Dell,PowerEdge FC640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8270,205,26,3.4,2,52,104,300,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190611-15281.html,,,,,,,,,,,
Primergy,RX2540 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,38.9,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14834.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,287,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-12044.html,,,,,,,,,,,
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,234,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15481.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,233,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191116-19863.html,,,,,,,,,,,
